CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
Dummy,0.0,0.0,0.0,1.1776655764597858e-05,0.001843574796250016
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.001049848848614444,0.003022443177516403
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 1}",0.0,0.0,0.0,0.0016600760941235173,0.0060292112971872
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.002520017341972046,0.008558521603169016
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.0032490087355222853,0.011147866293150543
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.0009539943866292486,0.0029862604687782876
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'hamming', 'n_neighbors': 10, 'novelty': True}",0.0,0.0,0.0,0.00011932548842510494,0.0001339548886148453
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'hamming', 'n_neighbors': 15, 'novelty': True}",0.0,0.0,0.0,0.0001208567686224279,0.00010262114022586933
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'hamming', 'n_neighbors': 20, 'novelty': True}",0.0,0.0,0.0,0.00011230102847049756,0.0001265346153753013
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,7.747925199730933e-05,7.748066017992083e-05
"One-Class SVM: {'gamma': 'auto', 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,7.522515060294744e-05,7.335657702705191e-05
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,6.107261530109103e-05,6.4179853845974e-05
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,6.462639337306772e-05,7.830615368073035e-05
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,8.093715555838548e-05,0.00012050650353449191
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,9.392290686665821e-05,9.18035686330549e-05
"One-Class SVM: {'gamma': 'scale', 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,7.103086926266431e-05,6.84490269042118e-05
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,6.4124968138951e-05,7.12391365858956e-05
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.00012958913493808671,0.00011319704016652361
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.0009159691841446912,0.002996455364448912
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,9.117098565597906e-05,8.568720767577784e-05
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.0034118382062432026,0.011098444006165283
