,CLASSIFICADOR,F1
0,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
1,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
2,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
3,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
4,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
5,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
6,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
7,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
8,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
9,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
10,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
11,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
12,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
13,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
14,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
15,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
16,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
17,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
18,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
19,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
20,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
21,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
22,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
23,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
24,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
25,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
26,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
27,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
28,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
29,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
30,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
31,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
32,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
33,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
34,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
35,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
36,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
37,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
38,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
39,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
40,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
41,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
42,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
43,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
44,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
45,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
46,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
47,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
48,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
49,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
50,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
51,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
52,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
53,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
54,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
55,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
56,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
57,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
58,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
59,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
60,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
61,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
62,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
63,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
64,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.8333333333333334
65,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
66,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
