,CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
0,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.006952524185180664,0.006038188934326172
1,Floresta de Isolamento,0.5,0.5,0.5,0.08100199699401855,0.021997690200805664
2,Envelope Eliptico MCD,0.75,0.75,0.75,10.838959217071533,0.018998384475708008
3,One Class SVM,0.5,0.5,0.5,0.009998798370361328,0.010000228881835938
4,Dummy,0.5,0.5,0.5,0.0,0.0
5,Local Outlier Factor,0.75,0.75,0.75,0.00499725341796875,0.005000114440917969
6,Floresta de Isolamento,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.07903409004211426,0.02099895477294922
7,Envelope Eliptico MCD,0.5,0.5,0.5,9.849974870681763,0.011991024017333984
8,One Class SVM,0.5,0.5,0.5,0.006000518798828125,0.005000114440917969
9,Dummy,0.5,0.5,0.5,0.0,0.0
10,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.006998538970947266,0.008001565933227539
11,Floresta de Isolamento,0.75,0.75,0.75,0.08499741554260254,0.023000001907348633
12,Envelope Eliptico MCD,0.5,0.5,0.5,11.050554037094116,0.02499699592590332
13,One Class SVM,0.5,0.5,0.5,0.010000228881835938,0.010998010635375977
14,Dummy,0.5,0.5,0.5,0.0,0.0010001659393310547
15,Local Outlier Factor,0.75,0.75,0.75,0.003999471664428711,0.003999948501586914
16,Floresta de Isolamento,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.08703398704528809,0.0229647159576416
17,Envelope Eliptico MCD,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.069000720977783,0.013998270034790039
18,One Class SVM,0.5,0.5,0.5,0.007997751235961914,0.006998777389526367
19,Dummy,0.5,0.5,0.5,0.0009999275207519531,0.0
20,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.007001161575317383,0.008998394012451172
21,Floresta de Isolamento,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0890350341796875,0.022003889083862305
