,CLASSIFICADOR,F1
39,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'euclidean', 'n_neighbors': 20, 'novelty': True}",0.8223787167449139
47,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.8223787167449139
43,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.7636932707355243
38,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'euclidean', 'n_neighbors': 15, 'novelty': True}",0.7498043818466353
46,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'minkowski', 'n_neighbors': 15, 'novelty': True}",0.7498043818466353
63,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.7208528951486699
55,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'metric': 'euclidean', 'n_neighbors': 20, 'novelty': True}",0.7208528951486699
37,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'euclidean', 'n_neighbors': 10, 'novelty': True}",0.7143974960876369
45,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'minkowski', 'n_neighbors': 10, 'novelty': True}",0.7143974960876369
59,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.7142018779342723
42,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'manhattan', 'n_neighbors': 15, 'novelty': True}",0.7089201877934272
15,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.6928794992175273
7,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'euclidean', 'n_neighbors': 20, 'novelty': True}",0.6928794992175273
41,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'metric': 'manhattan', 'n_neighbors': 10, 'novelty': True}",0.6901408450704225
11,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.6862284820031299
62,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'metric': 'minkowski', 'n_neighbors': 15, 'novelty': True}",0.6838810641627543
54,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'metric': 'euclidean', 'n_neighbors': 15, 'novelty': True}",0.6838810641627543
53,"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'metric': 'euclidean', 'n_neighbors': 10, 'novelty': True}",0.6766431924882629
