,CLASSIFICADOR,F1
34,"{'batch_size': 64, 'dropout': 0.2, 'learning_rate': 0.01, 'lstm_units': 32}",0.8841940532081377
1,"{'batch_size': 32, 'dropout': 0, 'learning_rate': 0.0001, 'lstm_units': 64}",0.8767605633802817
2,"{'batch_size': 32, 'dropout': 0, 'learning_rate': 0.001, 'lstm_units': 32}",0.8720657276995305
0,"{'batch_size': 32, 'dropout': 0, 'learning_rate': 0.0001, 'lstm_units': 32}",0.8685446009389672
19,"{'batch_size': 64, 'dropout': 0, 'learning_rate': 0.0001, 'lstm_units': 64}",0.8525039123630673
26,"{'batch_size': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'lstm_units': 32}",0.852112676056338
33,"{'batch_size': 64, 'dropout': 0.2, 'learning_rate': 0.001, 'lstm_units': 64}",0.8493740219092332
25,"{'batch_size': 64, 'dropout': 0.1, 'learning_rate': 0.0001, 'lstm_units': 64}",0.8364632237871674
32,"{'batch_size': 64, 'dropout': 0.2, 'learning_rate': 0.001, 'lstm_units': 32}",0.8341158059467919
22,"{'batch_size': 64, 'dropout': 0, 'learning_rate': 0.01, 'lstm_units': 32}",0.8325508607198749
20,"{'batch_size': 64, 'dropout': 0, 'learning_rate': 0.001, 'lstm_units': 32}",0.8290297339593115
13,"{'batch_size': 32, 'dropout': 0.2, 'learning_rate': 0.0001, 'lstm_units': 64}",0.8258998435054773
18,"{'batch_size': 64, 'dropout': 0, 'learning_rate': 0.0001, 'lstm_units': 32}",0.823943661971831
7,"{'batch_size': 32, 'dropout': 0.1, 'learning_rate': 0.0001, 'lstm_units': 64}",0.8223787167449139
21,"{'batch_size': 64, 'dropout': 0, 'learning_rate': 0.001, 'lstm_units': 64}",0.8219874804381847
3,"{'batch_size': 32, 'dropout': 0, 'learning_rate': 0.001, 'lstm_units': 64}",0.8192488262910798
23,"{'batch_size': 64, 'dropout': 0, 'learning_rate': 0.01, 'lstm_units': 64}",0.8188575899843505
11,"{'batch_size': 32, 'dropout': 0.1, 'learning_rate': 0.01, 'lstm_units': 64}",0.8180751173708921
31,"{'batch_size': 64, 'dropout': 0.2, 'learning_rate': 0.0001, 'lstm_units': 64}",0.8176838810641628
9,"{'batch_size': 32, 'dropout': 0.1, 'learning_rate': 0.001, 'lstm_units': 64}",0.814945226917058
12,"{'batch_size': 32, 'dropout': 0.2, 'learning_rate': 0.0001, 'lstm_units': 32}",0.8125978090766823
15,"{'batch_size': 32, 'dropout': 0.2, 'learning_rate': 0.001, 'lstm_units': 64}",0.8125978090766823
28,"{'batch_size': 64, 'dropout': 0.1, 'learning_rate': 0.01, 'lstm_units': 32}",0.8110328638497653
6,"{'batch_size': 32, 'dropout': 0.1, 'learning_rate': 0.0001, 'lstm_units': 32}",0.8110328638497653
27,"{'batch_size': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'lstm_units': 64}",0.8082942097026603
30,"{'batch_size': 64, 'dropout': 0.2, 'learning_rate': 0.0001, 'lstm_units': 32}",0.8075117370892019
5,"{'batch_size': 32, 'dropout': 0, 'learning_rate': 0.01, 'lstm_units': 64}",0.8055555555555556
4,"{'batch_size': 32, 'dropout': 0, 'learning_rate': 0.01, 'lstm_units': 32}",0.80320813771518
24,"{'batch_size': 64, 'dropout': 0.1, 'learning_rate': 0.0001, 'lstm_units': 32}",0.8024256651017214
35,"{'batch_size': 64, 'dropout': 0.2, 'learning_rate': 0.01, 'lstm_units': 64}",0.8016431924882629
17,"{'batch_size': 32, 'dropout': 0.2, 'learning_rate': 0.01, 'lstm_units': 64}",0.8008607198748043
14,"{'batch_size': 32, 'dropout': 0.2, 'learning_rate': 0.001, 'lstm_units': 32}",0.8004694835680752
8,"{'batch_size': 32, 'dropout': 0.1, 'learning_rate': 0.001, 'lstm_units': 32}",0.7961658841940531
29,"{'batch_size': 64, 'dropout': 0.1, 'learning_rate': 0.01, 'lstm_units': 64}",0.7942097026604069
10,"{'batch_size': 32, 'dropout': 0.1, 'learning_rate': 0.01, 'lstm_units': 32}",0.7906885758998435
16,"{'batch_size': 32, 'dropout': 0.2, 'learning_rate': 0.01, 'lstm_units': 32}",0.7902973395931142
