,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
0,AutoEncoder (PyOD),0.5,0.5,0.5,0.007004499435424805,10.448816299438477
1,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0020008087158203125,0.0029959678649902344
2,Floresta de Isolamento (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.14504313468933105,0.5028057098388672
3,One Class SVM (PyOD),0.5,0.5,0.5,0.002005338668823242,0.0019986629486083984
4,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0009996891021728516,0.04399895668029785
5,Dummy,0.5,0.5,0.5,0.0006644725799560547,0.0013401508331298828
6,AutoEncoder (PyOD),0.5,0.5,0.5,0.0039997100830078125,3.4569931030273438
7,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0019998550415039062,0.0019979476928710938
8,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.1400001049041748,0.4700326919555664
9,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0019164085388183594,0.0010833740234375
10,MCD (PyOD),0.5,0.5,0.5,0.002000093460083008,0.021585464477539062
11,Dummy,0.5,0.5,0.5,0.0010061264038085938,0.0009975433349609375
12,AutoEncoder (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.007001638412475586,3.733983278274536
13,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.005000591278076172,0.0049896240234375
14,Floresta de Isolamento (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.1399984359741211,0.5590214729309082
15,One Class SVM (PyOD),0.5,0.5,0.5,0.005029439926147461,0.0046825408935546875
16,MCD (PyOD),0.5,0.5,0.5,0.0010030269622802734,0.02799677848815918
17,Dummy,0.5,0.5,0.5,0.0,0.0
18,AutoEncoder (PyOD),0.5,0.5,0.5,0.0035164356231689453,3.5749993324279785
19,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0022284984588623047,0.0020017623901367188
20,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.1480424404144287,0.449970006942749
21,One Class SVM (PyOD),0.5,0.5,0.5,0.0019989013671875,0.0030364990234375
22,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0019991397857666016,0.024963855743408203
23,Dummy,0.5,0.5,0.5,0.0029947757720947266,0.0010056495666503906
24,AutoEncoder (PyOD),0.5,0.5,0.5,0.002999544143676758,3.5984976291656494
25,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002228260040283203,0.0024013519287109375
26,Floresta de Isolamento (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1420426368713379,0.5879590511322021
27,One Class SVM (PyOD),0.5,0.5,0.5,0.002445697784423828,0.0037043094635009766
