,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
0,AutoEncoder (PyOD),0.5,0.5,0.5,0.008046150207519531,10.562870025634766
1,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002970457077026367,0.0008451938629150391
2,Floresta de Isolamento (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.13500046730041504,0.4710094928741455
3,One Class SVM (PyOD),0.5,0.5,0.5,0.0039081573486328125,0.005655050277709961
4,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002001047134399414,0.04399919509887695
5,Dummy,0.5,0.5,0.5,0.0010199546813964844,0.0
6,AutoEncoder (PyOD),0.5,0.5,0.5,0.0030364990234375,3.5498056411743164
7,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0020318031311035156,0.0008227825164794922
8,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.14099884033203125,0.44704651832580566
9,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002904176712036133,0.0050961971282958984
10,MCD (PyOD),0.5,0.5,0.5,0.0010449886322021484,0.03726339340209961
11,Dummy,0.5,0.5,0.5,0.002001523971557617,0.0
12,AutoEncoder (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003998994827270508,3.6689529418945312
13,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.0059506893157958984,0.003834247589111328
14,Floresta de Isolamento (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.12299942970275879,0.6319999694824219
15,One Class SVM (PyOD),0.5,0.5,0.5,0.0018086433410644531,0.002183675765991211
16,MCD (PyOD),0.5,0.5,0.5,0.001215219497680664,0.030996084213256836
17,Dummy,0.5,0.5,0.5,0.002002239227294922,0.0009996891021728516
18,AutoEncoder (PyOD),0.5,0.5,0.5,0.008005380630493164,3.9659483432769775
19,Local Outlier Factor (PyOD),0.75,0.75,0.75,0.0029964447021484375,0.0030035972595214844
20,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.13695812225341797,0.7380411624908447
21,One Class SVM (PyOD),0.5,0.5,0.5,0.004038333892822266,0.003969430923461914
22,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.003999471664428711,0.06200551986694336
23,Dummy,0.5,0.5,0.5,0.0030078887939453125,0.0
24,AutoEncoder (PyOD),0.5,0.5,0.5,0.002001047134399414,3.023988962173462
25,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.0020172595977783203,0.0010025501251220703
26,Floresta de Isolamento (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.04499936103820801,0.24003052711486816
27,One Class SVM (PyOD),0.5,0.5,0.5,0.0010056495666503906,0.0009663105010986328
28,MCD (PyOD),0.5,0.5,0.5,0.0016257762908935547,0.021045207977294922
29,Dummy,0.5,0.5,0.5,0.0,0.0005733966827392578
30,AutoEncoder (PyOD),0.5,0.5,0.5,0.004002571105957031,1.6304872035980225
31,Local Outlier Factor (PyOD),0.75,0.75,0.75,0.0019669532775878906,0.0010309219360351562
32,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.04699969291687012,0.25803327560424805
33,One Class SVM (PyOD),0.5,0.5,0.5,0.002144336700439453,0.0010342597961425781
34,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0015177726745605469,0.023472309112548828
35,Dummy,0.5,0.5,0.5,0.0,0.0
36,AutoEncoder (PyOD),0.5,0.5,0.5,0.0025169849395751953,1.5605266094207764
37,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.0010783672332763672,0.0010004043579101562
38,Floresta de Isolamento (PyOD),1.0,1.0,1.0,0.0460209846496582,0.2570044994354248
39,One Class SVM (PyOD),0.5,0.5,0.5,0.000997781753540039,0.0014050006866455078
40,MCD (PyOD),0.5,0.5,0.5,0.0010883808135986328,0.02327442169189453
41,Dummy,0.5,0.5,0.5,0.0,0.0010516643524169922
42,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0029993057250976562,1.7120394706726074
43,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0020003318786621094,0.001001596450805664
44,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.04799842834472656,0.25377392768859863
45,One Class SVM (PyOD),0.5,0.5,0.5,0.0009603500366210938,0.0010287761688232422
46,MCD (PyOD),0.75,0.75,0.75,0.0009517669677734375,0.02891707420349121
47,Dummy,0.5,0.5,0.5,0.0,0.0
48,AutoEncoder (PyOD),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.002972841262817383,1.5102522373199463
49,Local Outlier Factor (PyOD),0.5,0.5,0.5,0.0015578269958496094,0.0009686946868896484
50,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.05150413513183594,0.2632749080657959
51,One Class SVM (PyOD),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0013287067413330078,0.0019512176513671875
52,MCD (PyOD),0.5,0.5,0.5,0.000997304916381836,0.015993833541870117
53,Dummy,0.5,0.5,0.5,0.0008273124694824219,0.0
54,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.006045818328857422,3.28741717338562
55,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.00500035285949707,0.0019996166229248047
56,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.14901137351989746,0.6685588359832764
57,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0050008296966552734,0.004998445510864258
58,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002961874008178711,0.06000161170959473
59,Dummy,0.5,0.5,0.5,0.0030052661895751953,0.0
60,AutoEncoder (PyOD),1.0,1.0,1.0,0.008442163467407227,4.103044271469116
61,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.00299835205078125,0.0020008087158203125
